company_name,domain,format,source,confidence,updated_at
1986 Studios,1986studios.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
One Million by One Million (1Mby1M),1mby1m.com,{first},inferred,high,2026-03-14T16:14:05.700Z
1stAveMachine,1stavemachine.com,{first},inferred,high,2026-03-14T16:14:05.700Z
21GRAMS,21gramsworld.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
22squared,22squared.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
"31,000 FT. Ad Agency",31000ft.com,{first},inferred,high,2026-03-14T16:14:05.700Z
3 Advertising,3advertising.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
5WPR,5wpr.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
71 West,71west.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
76research,76research.com,{first},inferred,high,2026-03-14T16:14:05.700Z
9Rooftops,9rooftops.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
a16z speedrun,a16z.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
A2Z Media Group,a2zmediagroup.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
AbelsonTaylor Group,abelsontaylorgroup.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
ABV AGENCY & GALLERY,abvatl.com,{f}{l},inferred,high,2026-03-14T16:14:05.700Z
(add)ventures,addventures.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
ADG Creative,adgcreative.net,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Adventure House,adventurehousenyc.com,{f}{l},inferred,high,2026-03-14T16:14:05.700Z
A+E Global Media,aegm.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Afton Klein Group,aftonkleingroup.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Agency Habitat,agencyhabitat.com,{last},inferred,high,2026-03-14T16:14:05.700Z
PJA Marketing + Advertising,agencypja.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
The A Group,agroup.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Allison Worldwide,allisonworldwide.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Ackerman McQueen,am.com,{first}-{last},inferred,high,2026-03-14T16:14:05.700Z
Ampersand Strategies,ampersandstrategies.com,{first},inferred,high,2026-03-14T16:14:05.700Z
The Collective,amyogden.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Analyst Builder,analystbuilder.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Analytical-Solution,analytical-solution.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Appleyard Duncan McCall,appleyardagency.com,{first},inferred,high,2026-03-14T16:14:05.700Z
ARC Creative,arc-creative.us,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Arc Worldwide,arcww.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Arnold Worldwide,arn.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Astronaut Monastery,astronautmonastery.com,{f}{l},inferred,high,2026-03-14T16:14:05.700Z
Atypikal,atypikal.co,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Augustine Agency,augustineagency.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Aura Creative Agency,auraagncy.com,{first},inferred,high,2026-03-14T16:14:05.700Z
AV Squad,avsquad.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Awakened Films,awakenedfilms.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Awesome Inc,awesomeinc.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Boyden & Youngblutt - Marketing & Advertising Agency,b-y.net,{first}{l},inferred,high,2026-03-14T16:14:05.700Z
Bake More Pies,bakemorepies.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Ballmer Group,ballmergroup.org,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Banner Studios,bannerstudios.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Barkley,barkleyokrp.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
BBDO Worldwide,bbdo.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
BBQ Agency,bbqagency.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Be Good Studios,begoodstudios.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Benchworks,benchworks.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Betty,bettyagency.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Biddyco,biddyco.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Big Day the Agency,bigdaytheagency.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Bigeye,bigeyeagency.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Big Pic,bigpic.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Blackbox Visual,blackboxvisual.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Black Eye: Dallas Branding + Design,blackeyedallas.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Black Math,blackmath.com,{first},inferred,high,2026-03-14T16:14:05.700Z
BlackMatter Creative,blackmattercreative.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Leaubeau Brand Studio,bleecreative.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Blitz Creative Studio,blitzcreative.la,{f}{l},inferred,high,2026-03-14T16:14:05.700Z
Blood & Chocolate Inc.,bloodnchocolate.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Bloomberg,bloomberg.net,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Blue Bear Creative - Social Media Agency,bluebearcreative.co,{first},inferred,high,2026-03-14T16:14:05.700Z
Blue Integrated Communications LLC,blueintegratedcommunications.com,{first}{last},inferred,high,2026-03-14T16:14:05.700Z
Blur Studio,blur.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Bullseye Media,bmediallc.com,{first},inferred,high,2026-03-14T16:14:05.700Z
